Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Some Moments with the Master,,Sai Rochandas Saheb,Others,,English,,3362,"H.M.Damodar, Ulhasnagar, India",1995,OTH-RS ,,3866,,
Spandana,Sahitya Vimarsha Vyasalu,V. Mandeswar Rao,Others,,Telugu,NA(J6),3685,"Karshaka Art Printers, Hyderabad",2007,OTH-VM,,3867,,
Spandana,Sahithya Vimarsa Vyasalu,Vadali Mandeshwara Rao,Others,,Telugu,RRB1,3590,"Vadali Mandeshwara Rao,Subhramanya Nagar, Saidabad, Hyderabad",2007,OTH-VM,,3868,,
Spiritual Discourses,Parama Veetraga Strotriya Brahmnishta,Dayanand Giri Ji Maharaj,others,,English,7,3008,"Devotees Ambala,Kerala",1987,OTH-SDGM,,3869,,
Spiritual Living,Self Help,Swami Tathagatananda,Others,,English,na,na,"Ramakrisna Mutt, Belur Mutt",2012,OTH-,,3870,,
Spiritual Message Of Rishi Ram Ram,NIL,Ram Ram,Others,,English,5,1119,"The Spiritual Healing Centre, Coimbatore",1939,OTH-RRR,,3871,,
Spiritual Message Of Rishi Ram Ram,First Anniversary Edition,Ram Ram,Others,,English,5,1120 (2nd Copy),"The Spiritual Healing Centre, Coimbatore",1939,OTH-RRR,,3872,,
Sprout in a Nutshell,Part-XXI,P.R. Sarkar,Others,,ENGLISH,NIL,NIL,"A'C. Krishnatma Nanda Avt, Calcutta",1991,OTH-,,3873,,
Sree Ramanuja Pathrika,NIL,Nil,Others,,Telugu,8,Nil,"Granthamala Office, Chinna Kanchipuram",Nil,OTH-,,3874,,
SreePada Sreevallabha Charitaamrutam,,Sri Pada SriVallabha Maha Samsthan,Others,,English,F2,3465,"SriPada SriVallabha Maha Samsthan, EGodavar",2001,OTH-PVMS,,3875,,
Sri Aravind Darshanam Sangraham,NIL,T. Purna Chandra Rao,Others,,Telugu,RRB-2,330,"Sri Arvind Ashramam, Pondicherry",1997,OTH-PTC,,3876,,
Sri Aravindula Gitadarshanam,NIL,Tenneti Purna Chandra Rao,Others,,Telugu,NA,3050,"Aronarati Prachurana, Hyderabad",1992,OTH- TPCR,,3877,,
Sri Balamanorama Series No-22(RATNAVALI),Sri Ratnavali,C. Sankara Rama Sastri,Others,,English & Sanskrit,5,1103,"The Sri Balamanorama Press, Mylapore, Madras",1935,OTH-CSR,,3878,,
Sri Bhagawad Anughavananam,NIL,Sri Chandrasekhara Saraswathi,Others,,Sanskrit,3,253,"Sri Mahadeva Sastri, Nukkumbakam",1955,OTH- ChS,,3879,,
Sri Brahma Tantra ,Parakala Mutt,N.Desikacharya,Others,,Telugu,6,969,"Bangalore Press, Mysore",NA,OTH-ND,,3880,,
Sri Chaitanya Maha Prabhu,By,Dr. Sambidanda Das Bhaktisastri,Others,,English,5,861,"Sree Gaudiya Math, Madras",1958,OTH-SDB,,3881,,
Sri Chaitanya Maha Prabhuvu,Bodanamruthamu,Sri.B. Srinvasacharyulu,Others,,Telugu,E4,212,"Bhakti Vedanta Book Trust, Hyderabad",1996,OTH- BS,,3882,,
Sri Chaitanya Maha Prabhuvu,Bodanamruthamu,Sri.B. Srinvasacharyulu,Others,,Telugu,E4,2879,"Bhakti Vedanta Book Trust, Hyderabad",1996,OTH- BS,,3883,,
Sri Chaitanya Shikshamrutam,NIL,Sri Thakur,Others,,Telugu,NA(J4),703,"Minerva Publications, Madras",1934,OTH- Thakur,,3884,,
Sri Devara Cheritam,NIL,Kandukuri Viranasavaraju,Others,,telugu,NA I-6,NA,"Mastarman Press, Kakinada",1970,OTH-KVR,,3885,,
Sri Dhata Vedamulu,Divya vani,Janabata Venugopal Krishna,Others,,Telugu,NA J-5,2816,"Databakta, Narasarao Pet",2001,OTH-JV,,3886,,
Sri Gayathri Pranava Swaroopam,Omkara Darpanamu,Kalluri Suryanarayana,Others,,Telugu,3,1700,"Sambhyan Vidya Parishad, Hyderabad",1991,OTH- KS,,3887,,
Sri Guru Geeta,NIL,Sri Sarvari,Others,,Telugu,D6,2061,"Sri Sarvari Publications, Hyderabad",1986,OTH- SV,,3888,,
Sri Kala,Devi Gunanikayanu Bhashyam,Kalyanannda Bharati Manti Acharya,Others,,TELUGU,7,3153,"Vidya Parishat Vijaya Vilasam, Tenali",1947,OTH-KBMA,,3889,,
Sri Krishanavatar Tattvam,4th Prakarana,Janamanchi Sheshadri Sarma,Others,,Telugu,5,584,"Vavilla Ramaswamy Sastry, ""The Vavilla Press"", Madras",1926,OTH-JS,,3890,,
Sri Krishanavatar Tattvam,3rd Prakarana,Janamanchi Sheshadri Sarma,Others,,Telugu,5,656 (2nd Copy),"Vavilla Ramaswamy Sastry, ""The Vavilla Press"", Madras",1926,OTH-JS,,3891,,
Sri Krishna ,His Life & Teachings,Dhirendra Nath Pal,Others,,English,5,188,"C.C.Bask, The Research Home, Calcutta, India",1923,OTH-DNR,,3892,,
Sri Krishna ,By,M.R. Sampat Kumaran,Others,,English,5,584,"G.A.Natesan & Others, Madras",1941,OTH-MRS,,3893,,
Sri Krishna ,By,M.R. Sampat Kumaran,Others,,English,5,1668,"G.A.Natesan & Others, Madras",1941,OTH-MRS,,3894,,
Sri Krishna Avatara Tatvam,Part-11,J.Sheshadri Sarma,Others,,Telugu,8,110,"The ""Vavilla Press"", Madras",1930,OTH- JSS,,3895,,
Sri Krishna Karnamrutam,NIL,NA,Others,,Telugu,6,772,NA,NA,OTH-NA,,3896,,
Sri Krishna Kathamrutam,NIL,Sri Chithanyadasa Goswami,Others,,Telugu,NA,2733,Sri Ramanda Gudiyam Kovuru,1991,OTH- CG,,3897,,
Sri Krishna Lila Tarangini,NIL,Narayana Tirdulu,Others,,English,7,1843,NA,1937,OTH-NT,,3898,,
Sri Krishna Pastoral,And The King Maker,Swami Ramakrishnanda,Others,,English,5,1725,"Sri Ramakrishna Matt, Mylapore, Madras",1981,OTH-SR,,3899,,
Sri Krishna Rasaleela-Yogatrayi Hela,NIL,M. Venkatasubrahmanya sastry,Others,,Telugu,NA,4254,"Lakshmi Ganapathi printers, Guntur",2001,OTH- MVS,,3900,,
Sri Krishna Sri Sandipasanvadanbu,NIL,NIL,Others,,Telugu,NA,NA,NA,NA,OTH-,,3901,,
Sri Krishna-Karnamrutam,NIL,Lilaashukavi,Others,,Telugu,6,810,"The ""Vavilla Press"", Madras",1929,OTH-Li,,3902,,
Sri Madandra Guruvarampara,prabavam,Jakacharya,Others,,Telugu,NA J-3,1043,"Andramu, Chennai",1929,OTH- JC,,3903,,
Sri Madandra VachanaBharatham,Vol-3,Venkata rangashasri,Others,,Telugu,8,11,"Viramaswami Sastri& Others, Madras",Na,OTH-VR,,3904,,
Sri Madava Govinda Godbole Maharaj,NIL,Narasimha Saraswati  Swami,Others,,Telugu,6,911,NA,NA,OTH-NSS,,3905,,
Sri Manamtra Ratnakare,NIL,O.G. Subba Rao Sastry,Others,,Telugu,E1,75,"The EMPRESS OF INDIA PRESS, MADRAS",NA,OTH-,,3906,,
Sri Manmadhva Vijaya:,NIL,NA,Others,,Telugu,NAJ-3,464,NA,1940,OTH- NA,,3907,,
Sri Mannrayaniyamu,NIL,A. Vijaya Murthy,Others,,Telugu,NA(J6),3941,"Chinmayaaranyam Publication Trust, Bheemawaram",2003,OTH-AVM,,3908,,
Sri Matru Samhita,NIL,K. Rama Krishna,Others,,Telugu,NA(J2),3996,"Sri Kondamudi Ramakrishna Foundation, Guntur Distt",1999,OTH- KRK,,3909,,
Sri Matru Vakkulu,NIL,T.V. Kapali Sastri,Others,,Telugu,3,939,"Sri Aurobindo Ashram, Puducherry, T.N.",1950,OTH- TVKS,,3910,,
Sri Mrahmananda  Tirda Vijayam,NIL,NA,Others,,Telugu,NA J-5,552,NA,NA,OTH-NA,,3911,,
Sri Paadarajam Saranam Prapadhye,Sri Paada Sree Vallabha Sampoorna Charithramruthai,Nil,Others,,Telugu,RRB1,3732,"Sree Padha Valabha Mahasamsthan Trust, Ganagapur, Gulberga District, Karnataka",2005,OTH- NA,,3912,,
Sri Pada Sri Vallabha Charitamrutam,NIL,Sri Malladi Govinda Dikshtulu,Others,,Telugu,7,4094,Sri Pada Sri Vallabha Maha Sosta ,2013,OTH-MGD,,3913,,
Sri Paramartha Chandrika ,Sahitamu,NA,Others,,Telugu,NA(J3),609,NA,NA,OTH- NA,,3914,,
Sri Parashara Bhattaraka Pranati,NIL,Sri Ranga Rajasta,Others,,Telugu,5,558,"Sri Niketana Press, Madras",1879,OTH-,,3915,,
Sri Pujya Stavakya Prabastam,NIL,Kalayana Srinivasa Thatacharya,Others,,Telugu,5,340,"Sri Niketana Press, Madras",1897,OTH- KST,,3916,,
Sri Raghava Pandaveeyamu,NIL,P. Suranaamatya,Others,,Telugu,NA,311,"The Vavilla Press, Madras",1940,OTH- PS,,3917,,
Sri Raja Tarangini,By,Swayam Pakula Venkataramana Sarma,Others,,Telugu,5,1159,"Swayam Pakula Venkataramana Sarma, Nellore",1975,OTH-SP,,3918,,
Sri Rama Charita Manasamu,NIL,Dr. M. Krishnama Charyulu & Others,Others,,Telugu,NA(J4),NIL,"Geeta Press, Gorakhpur",2001,OTH-,,3919,,
Sri Rama Krishnuni,Samkshipta Jeevitha Charitra,B.S.R. Anjaneyulu,Others,,Telugu,3,2783,"Sri Ramakrishna Matt, Mylapore, Madras",1988,OTH- BSRA,,3920,81-7120-071-0,
Sri Ramadasa Gita,,Prof. M.R.Bhat,Others,,English,na,na,"Anandasram, Kanhanghad",1964,OTH-MRB,,3921,,
Sri Ramakrishna Vaasthu Sastramu,NIL,Konneru Nagendra Prasad,Others,,Telugu,NA(J2),3495,"Victory Publications, Vijayawada",1999,OTH- KNP,,3922,,
Sri Ramanuja Patrika,NIL,P.B. Annangaracharya Swami,Others,,Telugu,1,48,"P.B. Annangaracharya Swami, L. Kancheepuram","March,1960- July,1962",OTH- PBAnSw,,3923,,
Sri Ramanuja Patrika Series-21,Ethihaas Puranadi Sara Sangrahamu,Sri Annagnacharyulu,Others,,Telugu,NA(J3),857,NA,1914,OTH- AC,,3924,,
Sri Rudraadyayamu,"Sri Shiva Puja, Linga Archana,etc",Sri.P. Rama Sarma,Others,,Telugu,E1,3474,"Sri Rama Publications, Hyderabad",2007,OTH- PRS,,3925,,
Sri Sai Bhagawathamu,sai sarwaswvao,Sri Pratti Narayana Rao,Others,,Telugu,RRB2,NA,HYderabad,2012,OTH- PNR,,3926,,
Sri Sathakopa,,Ramanuja,Others,,English,5,2974/75,NA,NA,OTH-RA,,3927,,
Sri Shivananda Upadeshamrutam,Nill,Swami Shivananda,Others,,Telugu,8,Na,"Yoga Vedanta Aranya Parishad, U.P",1966,OTH- SwSiv,,3928,,
Sri Shivasutravartikam,NIL,Potukuchi Subramanyashastri,Others,,Telugu,NA I-6,NA,"Sadana Granda Mandhali,Tena",1990,OTH-,,3929,,
Sri Shukra Neethi,NIL,Sri Krishna Dasji,Others,,Sanskrit,3,NA,"Sri Venkateswara , Press, Bombay",1964,OTH- KD,,3930,,
Sri Sitaramanjaneya Samwada Saara Sangrahamu,Saara Sangrahamu,Chengalva- Rukminamma,Others,,Telugu,5,78,NA,1933,OTH- ChR,,3931,,
Sri Subramanya Ayyar Lectures ,On The History of Sri Vaisnavas,T.A. Gopinath Rao,Others,,English,5,541,University of Madras,1923,OTH-TAGR,,3932,,
Sri Surya Raya Andhra Nighantuvu,Vol.2,Jayanthi Ramaiah Pantulu,Others,,Telugu,NIL,2956,"Telugu Vishwa Vidyalayam, Hyderabad ",1988,OTH- JR,,3933,,
Sri Surya Raya Andhra Nighantuvu,Vol.3,Kashi Bhatta Subbaiah Sastri,Others,,Telugu,NIL,2957,"Telugu Vishwa Vidyalayam, Hyderabad ",1988,OTH- KBS,,3934,,
Sri Surya Raya Andhra Nighantuvu,Vol.4,Devulapalli. Ramanuja Rao,Others,,Telugu,NIL,2958,"Telugu Vishwa Vidyalayam, Hyderabad ",1988,OTH- DRR,,3935,,
Sri Surya Raya Andhra Nighantuvu,Vol.5,Eriventi Krishna Murthy,Others,,Telugu,NIL,2959,"Telugu Vishwa Vidyalayam, Hyderabad ",1988,OTH- EKM,,3936,,
Sri Surya Raya Andhra Nighantuvu,Vol.6,Eriventi Krishna Murthy,Others,,Telugu,NIL,2960,"Telugu Vishwa Vidyalayam, Hyderabad ",1988,OTH- EKM,,3937,,
Sri Sushruta Sharira Stanamu,Sandhra Tatparayamu,Sri Sushruta Charyulu,Others,,Telugu,NA(J3),895,"The Vavilla Press, Madras",1941,OTH- SC,,3938,,
Sri Vachan Bhushanam,NIL,U.V. Sudharshana Charyulu,Others,,Telugu,RRB-2,1220,"Sri Mann C. Annarao ,TTD, Tirupati",1951,OTH-UVS,,3939,,
Sri Vani Vilas Sanskrit Series No-4 -Yadavabhudaya,Yadavabhyudaya,Vedanta Desika & Ayappa Dikshit,Others,,Sanskrit,3,286,"Sri Vani Vilas Press, Sri Rangam",1909,OTH-  VD,,3940,,
Sri Vani Vilas Sanskrit Series No-9-Rukmini Kalyanam,Rukmini Kalyanam,Rajachudamani Dikshita,Others,,Sanskrit,3,141,"Sri Vani Vilas Press, Sri Rangam",NA,OTH- RaDi,,3941,,
Sri Vasudeva Mannanamu,NIL,Sri Vasudeva Yatindra ,Others,,Telugu,NA(J4),NIL,"Vavilla Ramaswamy Sastrulu & Others, Chennai",1958,OTH-,,3942,,
Sri Vasudeva Mannanamu,NIL,Sri Vasudeva Yatindra ,Others,,Telugu,NA(J4),NIL(2nd Copy),"Vavilla Ramaswamy Sastrulu & Others, Chennai",1958,OTH-,,3943,,
Sri Vedanta Desika's (Venkatanatha's),Sankalpa Suryodaya(A Drama In Ten Acts),M.R.Rajagopala Ayyangar,Others,,English,5,507,"TTD, Tirupati ",1965,OTH-,,3944,,
Sri Venkatesha Kalyanacharita,NIL,T. Viraraghavacharya Siromani,Others,,Sanskrit,3,NA,"Srinivas Publishers, Tirupati",1939,OTH- TVS,,3945,,
Sri Venkateshwara Oriental Series NO-22,Adhyatma Sankirtanalu,Veturi Prabhakara Sastri,Others,,Telugu,5,495,"TTD, Press, Tirupati",1950,OTH-VP,,3946,,
Sri Veturi Prabhakarashasri,,C.V.V.,Others,,Telugu,E5,3289,,,OTH-CVV,,3947,,
Sri Vimanacharya Kalpaha,NIL,Swami Hathi Ramji,Others,,Sanskrit,3,262,"Sri Venkateswara , Press, Bombay",1926,OTH- SwHR,,3948,,
Sri Vinayaka Mahatyam ,NIL,Panduranga Jwaji,Others,,Sanskrit,3,257,"Pandurang Jawaji, Bombay",1930,OTH- PJ,,3949,,
Sri Vishwa Mimansa ,Nil,Na,Others,,Telugu,RRB2,Na,Sri Styandasramam neluru,2022,OTH-,,3950,,
Sri Vishwanatha Jaganatha Ghana Pathi,Ghana Tapasvi,Shakha Raghunath Sarma,Others,,Telugu,NA,3508,"Sri Vishwanatha Jaganatha Ghana Pathi, Rajamahendrapuram",2010,OTH- SRS,,3951,,
Sri Vruttaratnavali,Vrutiprabakarisha,Nadivinti subrahmanya,Others,,Telugu,A8,1148,Viktoriya Jabili Mudrakshari chitur,1935,OTH- NS,,3952,,
Sri Vyasa- Panini Bhavanirnaya,A New Original Reserach Work on Vyas's Philosophy & Panini's Grammar,Sethu Madhava Charya,Others,,Sanskrit,3,218,"TTD, Tirupati",1944,OTH- SSCh,,3953,,
Srimad Gayathri Yoga Vignana Sagrajham-2,Nil,Sri Shilappa Vinayaka Rao Sarma,Others,,Telugu,RRB-2,3081,"Sri Shilappa Vinayaka Rao Sarma, Adilabad",2010,OTH-,,3954,,
Srimad Vedanata Sara Sahitam,NIL,V.P.Parama Pursha Prasada,Others,,Telugu,5,547,Partivanamasamvatsare,NA,OTH-VPPP,,3955,,
Stillness Speaks,NA,Eckhart Tolle,Others,,English,F1,3231,Yogi Impressions Books Pvt. Ltd,2003,OTH-ET,,3956,,
Stillness Speaks,NA,Eckhart Tolle,Others,,English,F1,2772,Yogi Impressions Books Pvt. Ltd,2003,OTH-ET,,3957,,
Stri Parvamu,Madhva Sampradayamu,Rachuri Srinivasa Rao,Others,,Telugu,NA(G6),NIL,"Rachuri SrinivasRao, Yelluru",2002,OTH- RSR,,3958,,
Studies in Sanskrit Literature,NIL,C.R.Narasimha Sastry,Others,,Sanskrit,3,1631,The Maharaja's College of Mysore,1936,OTH- CRL,,3959,,
Sudha Mandiram,(Gadhya Padya Sankalam),Tikkanna Somayaji,Others,,English,5,NA,"Bhuvana Vijayam Publications, Vijayawada, A.P.",NA,OTH- TS,,3960,,
Sufism,An Account Of The Mystics Of Islam,A.J. Arberry,Others,,English,5,515,"George Allen & Unwin Ltd, London",1950,OTH-,,3961,,
Swami Muktanandanda Paramahamsa,16th Birthday Commemoration Volume,Swami Muktanandanda Paramahamsa,Others,,English,5,248,"Sree Gurudev Ashram, Thana Distt, Maharashtra",1968,OTH- SwMP,,3962,,
Swami Vivekananda Life and Teachings,,Brahmachari Ammal,Others,,English,,na,Ramakrishna Mutt Belur Mutt,2011,OTH- BA,,3963,,
Swapna Vasavadvaitam,A Play by,Bhasa,Others,,English,5,488,G.K.R. Madras,1940,OTH-BH,,3964,,
Swastha kosam DhyanChikithsa,Manasu Sheriram Arogyam,P.G.Ramohan,Others,,Telugu,E5,2453,"Sri Sai Art Printers, Hyderabad",2005,OTH-OSHO,,3965,,
Swastha Kosam DhyanChikithsa-2,Aharam Mansththvam,P.G.Ramohan,Others,,Telugu,E5,2466,"Sri Sai Art Printers, Hyderabad",2006,OTH-OSHO,,3966,,
Swayamuga Sanskrutham Nerchukondi,NIL,Dr. K. Satyanarayana ,Others,,Telugu,NA,3723,"Rohini Publications, Rajamundry",2007,OTH-KS,,3967,,
Tales of THe Mystic East,By ,Huzur Maharaj Sawan Singh Ji,Others,,English,5,229,"Radha Soami Satsang Beas, Punjab, India",1977,OTH-HM,,3968,,
Tangtori Prakasham,Naa Jeevitha Yatra,Dr. Chandra Sekhar Reddy,Others,,Telugu,3,3199,"Emesco Books, Domalguda, Hyderabad",2011,OTH- TChR,,3969,978-93-80409-62-7,
Tantras Their Philosophy,And Occult Secrets,D.N.Bose,Others,,Telugu,5,977,"Oriental Publishing Co, Calcutta India.",NA,OTH-DNB,,3970,,
Tantrik Yoga,Hindu & Tibetan(J. Marques Rivere),H.E. Kennedy,Others,,ENGLISH,RRB-2,699,"Rider & Co., London",NA,OTH-HEK,,3971,,
Taraka Sangraham,NIL,Vavilla Rama Swamy Sastrulu,Others,,Telugu,6,466,"The ""Vavilla"" & Others, Madras",1939,OTH- VRS,,3972,,
Tattva Prakashika Vivaranam,4th Manihi,V. Narasimha Chary,Others,,Sanskrit,3,Na,"Galgoli Ramachary, Belgam",1960,OTH-,,3973,,
Tattva Sudha,NIL,Dr. M.M. Venkata Subbramaniyam,Others,,Telugu,D6,NIL,"Dr. Mutharaju MV Subramaniyam Advaita Yoga Peetam, Nellore",2017,OTH- MMVS,,3974,,
Tatwachinta mano Sadhana Grantham,NIL,Sri. Gadhadara Bhattacharya,Others,,Telugu,A8,813,NA,NA,OTH- GBC,,3975,,
The Touch that Heals,,H.S.Sethi,Others,,English,,,Spiceland Publishers,1994,OTH- HSS,,3976,,
Telugu- Marugulu,Vyasa Samputi,Sri Veturi Prabhakara Sastry,Others,,Telugu,3,1011,"Andhra Grantha Mala, Madras",1948,OTH- VPS,,3977,,
Teni shlokam -Tatoda Drusham,NIL,NA,Others,,Telugu,6,984,NA,NA,OTH- NA,,3978,,
The Absolute,.Nill,G.S.Hattiangadi,Others,,English,8,Na,Bombay,1970,OTH-GSH,,3979,,
The Adventures of Sherlock Holmes,,Sir Arthur Conan Doyle,Others,,English,,na,Tulsi Sahitya Publications,na,OTH- ACD,,3980,,
The Americas,Junior Regional Geography,J.B. Reynolds,Others,,English,2,844,"A. & C. Black, Ltd, London",1918,OTH- JBR,,3981,,
The Art of Happiness,A Handbook For Living,"Dalai Lama, & OThers",Others,,English,5,2533,"Hodder & Stoughton , London",1998,OTH- DaLa,,3982,0-34-71227-9,
The Art of Meditation,,Swami Srikanta Nanda,Others,,English,na,3348,"Ramakrishna Mutt, Hyderabad",2003,OTH-SwVi,,3983,,
The Art of Meditation,Nill,Swami Srikantananda,Others,,Telugu,8,2107,"Viekananda Institute, Hyderabad",2000,OTH-SS,,3984,,
The Art of Relaxation,Motivation,Herman S.Schwartz,Others,,English,F3,2860,"Jaico Publishing House, Mumbai",1991,OTH-HSS,,3985,,
The Aryan Path,"Vol-XVI, No.5, Standards of Living",Different Authors,Others,,English,1,NIL,Pt. Kshamabai Row,"May-November, 1945 & March-May,1946",OTH-,,3986,,
The Ayurveda Sutram,By,Dr. R. Shama Sastri,Others,,Sanskrit,5,26,"The Government Branch Press, Mysore",1922,OTH- RSS,,3987,,
The Basics Of Political Philosophy,By,Krishna Prasanna Mukerji,Others,,English,5,1164,"The Theosophical Publishing House, Adyar, Madras, India",1950,OTH-KP,,3988,,
The Body,Part-2,Paul Brunton,Others,,ENGLISH,H2,2067,"Polu Brunton,Philosophy,Founder",1986,OTH- PB,,3989,,
The Bowl of Saki,,Hazrat Inayat Khan,Others,,English,,2643,"Motilal Banarasidas  Publishers, Delhi",1994,OTH- HIK,,3990,,
The Buddhism of Tibet,wisdom of Tibet Series,Tenzin Gyatso 14th Dalai Lama,Others,,English,F2,2504,Motilal Banarasidass,1987,OTH-TG,,3991,,
The Celestine Prophecy,,James Redfield,Others,,English,,na,Bantam Books,1995,OTH- JR,,3992,,
The Chowkamba Sanskrit Series Vol-X,The Sarva-Dars'ana-Samgraha,Madhava Acharya,Others,,English,5,1156,"Chowkamba Sanskrit Series Office, Varanasi",1961,OTH-MA,,3993,,
"THE CHRONIC DISEASES, Their Peculiar Nature & Their HOMOEOPATHIC CURE. ",,Dr. Samuel Hahnemann,Others,,ENGLISH,NIL,3102,"Jain Publishing & Others, New Delhi",1975,OTH- SH,,3994,,
The Complete Works of The Cleanings of Truth,(Satyansha Sangrah),Tejpal Vashisht,Others,,English,3,2612,"The Tej Pal Vashist, London",2007,OTH- TV,,3995,(10): 0-9554486-0-3/(13): 978-0-9554486-0-7,
The Creative Silence,,Rohit Mehta,Others,,English,,3326,The Theosophical Publishing House,1999,OTH-  RM,,3996,,
The Dasa Kumara Charitra,Purvapithika,R.S.Venkata Rama Sastry,Others,,ENGLISH,RRB-2,613,"Chintamani Book Company, Madras",NA,OTH-RSV,,3997,,
The Dermis Probe,,Idries Shah,Others,,English,na,2172,"The Octagon Press, London",1989,OTH- IS,,3998,,
The Divine Experiences,Bestowed by Amma,T.Triloka Appa Rao,Others,,English,F5,3255,"Visvajanani Parishad, Jillella mudi, Guntur",2013,OTH-TTA,,3999,,
The Divinity of Haranath THE Crazy,"""The Lord Supreme"" by ",Sepuri Lakshminarasayya,Others,,English,5,564,"Victory Press, Nellore",1963,OTH-SL,,4000,,
The Eternal Companion,Spiritual Teachings of Swami Brahmananda,Swami Prabhavananda,Others,,English,5,1721,"Sri Ramakrishna Matt, Mylapore, Madras",1981,OTH-SP,,4001,,
The Eternal Light,,Rohit Mehta,Others,,English,,3327,The Theosophical Publishing House,2005,OTH- RM,,4002,,
The Gift Of God,Or Andavan Pichhai,Smt. Radha & Dr. Krishna Rao,Others,,English,5,3063,"The Divine Life Society, Rishikesh, (U.P.)",1983,OTH-RKR,,4003,,
The Gospel Of Buddha,Buddhism,Paul Carus,Others,,English,F2,3144,"Samata Books, Madras",1991,OTH-PC,,4004,,
The Gospel Of Sri Ramakrishna,NIL,Swami Nikhilananda,Others,,English,5,2886,"Sri Ramakrishna Matt, Mylapore, Madras",2008,OTH-SN,,4005,978-81-7823-496-0,
The Hare Krshna Challenge,,A.C. Bhaktivedanta Swami Prabhupada,Others,,English,,3330,"The Bhaktivedanta Book Trust, Mumbai",2004,OTH- ACBSwP,,4006,,
The Homoeopathic Prescriber,By,Dr.K.c. BHanja,Others,,English,5,NA,"Mrs. Santhi Bhanja, Calcutta, India",1928,OTH-KCB,,4007,,
The i Ching and its Associations,Philosophy,Diana Ffarington Hook,Others,,English,na,1248,"Routledge and Kegan Paul, London",2148,OTH- DFH,,4008,,
The Inner Reality,,Dr.Paul Brunton,Others,,English,,2401,B.I.Publications,1974,OTH-PB,,4009,,
The journey with Death,,Rohit Mehta,Others,,English,na,2488,"Motilal Banarasidass Publishers, Delhi",2000,OTH-  RM,,4010,,
The Joy of Loving,,Mother Teresa,Others,,English,na,3195,"Penguin Books, India",1996,OTH- MoTe,,4011,,
The Karma - Mimasa,The Heritage of India Series,A. Berriedale Keith,Others,,English,5,1022,"Association Press, Calcutta, India",1921,OTH-ABK,,4012,,
The last Dalai Lama,Biography,Micheal Harris Goodman,Others,,English,F2,2617,"Rupa and Co, New Delhi",1996,OTH-MHG,,4013,,
The Laws Of Manu,,Wendy Doniger,Others,,English,,2492,Penguin Books,1991,OTH-  WD,,4014,,
The Laws of Nature,An Infalible Justice,A.C. Bhaktivedanta Swami Prabhupada,Others,,English,5,NA,"The Bhaktivedanta Book Trust, Mumbai",2002,OTH-ACB,,4015,,
The Life of the Buddha,Buddhism,Rev. Siridhamma,Others,,English,F2,3239,"The Corporate Body of Buddha Foundation, Taiwan",1983,OTHE-RS,,4016,,
The Light of Asia,Buddhism,Edwin Arnold,Others,,English,F4,2538,"Theosophical Publishing House, Adyar, Chennai",1974,OTH-ED,,4017,,
The Little Lifco Dictionary,,NA,Others,,English,na,na,LIFCO,na,OTH-NA,,4018,,
The Maharshi & His Message,NIl,Paul Brunton,Others,,ENGLISH,H2,1986,Paul Brunton Philosophic Foundation,1987,OTH-PB,,4019,,
The Matchless Gift,,A.C. Bhaktivedanta Swami Prabhupada,Others,,English,,3316,"The Bhaktivedanta Book Trust, Mumbai",2011,OTH- ACBSwP,,4020,,
The Matchless Gift,,A.C. Bhaktivedanta Swami Prabhupada,Others,,English,,3337,"The Bhaktivedanta Book Trust, Mumbai",2004,OTH- ACBSwP,,4021,,
The mind and its control,,Swami Budhananda,Others,,English,,1701,"Advaita Adhrama, Himalayas",1982,OTH- SwB,,4022,,
The Nagananda,Of King Harsha,S. Venkata Rama Sastri,Others,,English,5,162,"Chintamani Book Co., Madras",1946,OTH-SVR,,4023,,
The Nagananda Of,Sri Harsha,V.R. Nerurkar,Others,,English,5,1130,"Keshav Bhikaji Dhavale, Book Seller, Bombay",1919,OTH-,,4024,,
The Nature & Development Of Spiritual Consciousness,Mysticism,Evelyn Under Hill,Others,,English,5,3036,"One World Publications, Oxford England ",1999,OTH-EUH,,4025,1-85168-196-5,
The Nectar of Instruction,,A.C. Bhaktivedanta Swami Prabhupada,Others,,English,,3323,"The Bhaktivedanta Book Trust, Mumbai",2011,OTH- ACBSwP,,4026,,
The Notebook of Paul Brunton,Emotion &Ethics,Paul Brunton,Others,,ENGLISH,H2,2068,Paul Brunton Philosophic Foundation,1987,OTH- PB,,4027,,
The Notebook of Paul Brunton,,Paul Brunton,Others,,ENGLISH,H2,2065,"Polu Brunton,Philosophy,Founder",1986,OTH- PB,,4028,,
The Notebook of Paul Brunton,NIL,Paul Brunton,Others,,ENGLISH,H2,2066,"Polu Brunton,Philosophy,Founder",1986,OTH-PB,,4029,,
The Orient,Its Legacy to West,Paul Brunton,Others,,ENGLISH,H2,2072,Paul Brunton Philosophic Foundation,1987,OTH- PB,,4030,,
The Oxford Dictionary of Quotations,Second Editions ,NIL,Others,,English,7,1107,"Geoffrey Cumberlege,London",1953,OTH-NA,,4031,,
The Path Beyond Sorrow,NIL,Swami Chidananda ,Others,,English,7,2279,"Divine life Society, Himalayas",1978,OTH-SC,,4032,,
